Name,iso,Population Numeric,Country,Classification,Language Use ,langstat,Writing,col
 Abidji,abi,50500,Ivory Coast,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby","Also use French [fra], Jula [dyu], Baoul\'e [bci], or Adioukrou [adj].",5,Latin script.,5
 Agarabi,agd,27000,Papua New Guinea,"Trans-New Guinea, Kainantu-Goroka, Kainantu, Gadsup-Auyana-Awa",All domains.,5,Latin script.,5
 Angaataha,agm,2100,Papua New Guinea,"Trans-New Guinea, Angan, Angaatiha",NA,5,Latin script.,7.25
" Agta, Central Cagayan",agt,780,Philippines,"Austronesian, Malayo-Polynesian, Philippine, Northern Luzon, Northern Cordilleran, Cagayan Valley, Ibanagic, Gaddangic",All domains. All ages. Positive attitudes. Also use Ilocano [ilo] with non-Agta speakers. Filipino [fil] is used in school.,5,Latin script.,6.25
 Awakateko,agu,18000,Guatemala,"Mayan, Yucatecan-Core Mayan, K'ichean-Mamean, Mamean, Awakateko-Ixil",All ages.,4,Latin script.,7.25
 Amarakaeri,amr,500,Peru,Har\'akmbut,Still spoken by the children in some communities (2012).,8,Latin script.,6.25
" Amuzgo, Guerrero",amu,30600,Mexico,"Otomanguean, Eastern Otomanguean, Amuzgo-Mixtecan, Amuzgo","Vigorous. All domains: some local adminstration, business. All ages. Positive attitudes. Spanish [spa] proficiency increases with education.",4,Latin script.,8.25
" Arabic, North Levantine Spoken",apc,8800000,Syria,"Afro-Asiatic, Semitic, Central, South, Arabic",Drama.,3,Arabic script.,11
 Apinay\'e,apn,1260,Brazil,"Jean, Northern",Most men speak Portuguese [por] fluently. All women understand Portuguese even if they don't speak it (Crevels 2007).,5,Latin script.,5
 Safeyoka,apz,2390,Papua New Guinea,"Trans-New Guinea, Angan, Nuclear Angan",Also use Tok Pisin [tpi] or Yabem [jae].,5,Latin script.,5
 Arabela,arl,50,Peru,"Zaparoan, Z\'aparo, Arabela-Andoa",Some ethnic group members understand but do not speak it. Seriously endangered. Also use Quechua or Spanish [spa].,9,Latin script.,5
 Waorani,auc,1650,Ecuador,Language isolate,The language is considered to be endangered due to emerging Huaorani-Quichua bilingualism brought about by mixed marriages and bilingual education programs taught by Quichua teachers who do not speak Huaorani (2007). All ages. A few also speak Quichua; mostly those who are married to Quichua and their children. (2007 C. Peeke).,7,Latin script.,3.5
" B\'et\'e, Daloa",bev,130000,Ivory Coast,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kru, Eastern, Bete, Western",NA,5,Latin script.,3.5
 Bhili,bhb,3310000,India,"Indo-European, Indo-Iranian, Indo-Aryan, Central zone, Bhil",Spoken as L1 by the Patelia in Madhya Pradesh. A few also use Hindi [hin].,5,Devanagari script. Gujarati script.,7.25
 Bahinemo,bjh,550,Papua New Guinea,"Sepik, Sepik Hill, Bahinemo",Also use Tok Pisin [tpi].,5,Latin script.,6.25
 Berik,bkl,1200,Indonesia,"Tor-Kwerba, Orya-Tor, Tor",NA,7,Latin script.,5
 Bauzi,bvz,1500,Indonesia,"East Geelvink Bay, Bauzi",Vigorous. Some Aliki speak Bauzi [bvz] due to intermarriage and trading. All domains. Positive attitudes. A few also speak Indonesian [ind].,5,Latin script.,5
 Garifuna,cab,98000,Honduras,"Maipurean, Northern, Maritime, Ta-Maipurean, I\~neri",Shifting to Spanish [spa] in some villages. All domains. Mostly positive attitudes. A few also use English [eng] as well as Spanish [spa].,5,Latin script.,9.5
 Ch\'acobo,cao,550,Bolivia,"Panoan, Bolivian Panoan, Ch\'akobo",Vigorous in remote areas (2007). All ages.,5,Latin script.,3.5
 Cavine\~na,cav,1680,Bolivia,Tacanan,"Cavine\~na highly conserved in the communities, except in Riberalta where children are not learning it (2007). Increasingly also use Spanish [spa].",7,Latin script.,6.25
 Chiquitano,cax,5860,Bolivia,Language isolate,Shifting to Spanish [spa]. For each 8 elders there is only 1 youngster who speaks the language.,7,Latin script.,9.5
 Chachi,cbi,9500,Ecuador,"Barbacoan, Southern","Elders and preschool-aged children are mostly monolingual (2007). Women, older adults, and those living in the isolated headwaters of the river are less bilingual in Spanish [spa].",7,Latin script.,5
 Chavacano,cbk,359000,Philippines,"Creole, Spanish based","Davawe\~no Zamboangue\~no dialect may have no remaining speakers. Ermite\~no is extinct; Zamboangue\~no, Cavite\~no, and Cotabate\~no are still used. Most domains. All ages. Positive attitudes. Nearly all also use Filipino [fil]. Many also use Cebuano [ceb] or Tausug [tsg].",4,"Braille script. Latin script, primary usage.",9.5
 Chayahuita,cbt,7870,Peru,Cahuapanan,Bilingual education in some communities (2007). All ages.,5,Latin script.,6.25
 Candoshi-Shapra,cbu,1120,Peru,Language isolate,Language maintenance program and bilingual education program (2007). All ages. Positive attitudes.,5,Latin script.,5
" Chinantec, Lealao",cle,2000,Mexico,"Otomanguean, Western Otomanguean, Oto-Pame-Chinantecan, Chinantecan","Vigorous. All domains. All ages. Negative attitudes. Consider it inferior to Spanish [spa], but continue to use it. Some also use a Zapotec variety.",5,Latin script.,7.25
 Campalagian,cml,30000,Indonesia,"Austronesian, Malayo-Polynesian, South Sulawesi, Bugis",Vigorous.,6,NA,8.25
 Colorado,cof,2300,Ecuador,"Barbacoan, Southern",All domains. All ages. Positive attitudes. Almost all also use Spanish [spa] (Crevels 2007).,7,Latin script.,5
" Cree, Swampy",csw,85,Canada,"Algic, Algonquian, Cree-Montagnais",Vigorous. Also use English [eng].,7,"Unified Canadian Aboriginal Syllabics script, uses western finals.",5
 Kulina,cul,3500,Brazil,Arauan,"Still spoken as L1 in remote villages, but Portuguese [por] is becoming dominant in villages near cities (2007).",7,Latin script.,3.5
 Dan,daf,1300000,Ivory Coast,"Niger-Congo, Mande, Eastern, Southeastern, Guro-Tura, Tura-Dan-Mano, Tura-Dan",Also use Jula [dyu] or French [fra].,5,Latin script.,3.5
" German, Standard",deu,75300000,Germany,"Indo-European, Germanic, West, High German, German, Middle German, East Middle German","28,000,000 L2 speakers.",1,"Braille script. Latin script, primary usage. Latin script, Fraktur variant, used until 1940. Runic script, no longer in use.",11
 Didinga,did,60000,South Sudan,"Nilo-Saharan, Eastern Sudanic, Eastern, Surmic, South, Southwest, Didinga-Murle, Didinga-Longarim",All domains. All ages. Positive attitudes.,4,Latin script.,7.25
 Eastern Maroon Creole,djk,15500,Suriname,"Creole, English based, Atlantic, Suriname, Ndyuka","Vigorous. In Paramaribo some shifted to Dutch [nld], some younger ones to Sranan [srn]. All domains. Also in oral and written form for religious services. Positive attitudes. Most men also use Sranan Tongo [srn]. Schools are in Dutch [nld], so many youth read and write it, but most are not fluent. About 30%-50% can use all 3 languages.",5,"Afaka script, never widely used, may be in use by a few individuals. Latin script, primary usage.",6.25
" S\'enoufo, Djimini",dyi,95500,Ivory Coast,"Niger-Congo, Atlantic-Congo, Volta-Congo, North, Gur, Senufo, Tagwana-Djimini",Also use Jula [dyu].,5,Latin script.,6.25
 English,eng,58200000,United Kingdom,"Indo-European, Germanic, West, English","1,500,000 L2 speakers (Crystal 2003).",1,"Braille script. Deseret Alphabet, developed in 1854 with limited usage until 1877. Latin script, primary usage. Shavian (Shaw) script, no longer in use.",11
 Ese Ejja,ese,500,Bolivia,"Tacanan, Chama",All ages.,5,Latin script.,7.25
" Yupik, Central Siberian",ess,1400,United States,"Eskimo-Aleut, Eskimo, Yupik",Almost all adults speak the language. Decreasing number of children acquire it as L1. All ages.,4,Cyrillic script. Latin script.,6.25
 Ejagham,etu,67300,Nigeria,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Ekoid",NA,5,"Latin script, used since 1976.",3.5
 French,fra,53500000,France,"Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Gallo-Romance, Gallo-Rhaetian, O\""il, French","50,000,000 L2 speakers.",1,"Braille script. Latin script, primary usage.",11
 Guahibo,guh,23000,Colombia,"Guajiboan, Guajibo",NA,7,Latin script.,6.25
 Guambiano,gum,21000,Colombia,"Paezan, Coconuco",Vigorous. All domains. Positive attitudes. Mostly bilingual in Spanish [spa] (Crevels 2007).,5,Latin script.,6.25
 Kuku-Yalanji,gvn,360,Australia,"Australian, Pama-Nyungan, Yalandyic","Vigorous. Traditional religion, oral and some written use in religious services. Oral tradition. Children are learning it. Positive attitudes. All also use English [eng].",7,Latin script.,3.5
" Ng\""abere",gym,169000,Panama,"Chibchan, Chibchan A, Guaymi\'ic",Some also use English Creole [jam].,5,Latin script.,7.25
 Halbi,hlb,593000,India,"Indo-European, Indo-Iranian, Indo-Aryan, Eastern zone, Bengali-Assamese","200,000 L2 speakers (2001 C. Thomas). Educated men also use Hindi [hin], for trading and common topics. Some use Bhatri [bgw].",3,Devanagari script.,5
