wals code,name,value,description,genus,family,,
huc,Err:520,4,No dominant order,Err:520,Kxa,,
aar,Aari,1,Postpositions,South Omotic,Afro-Asiatic,,
aba,Abau,1,Postpositions,Upper Sepik,Sepik,,
abi,Abipón,2,Prepositions,South Guaicuruan,Guaicuruan,,
abk,Abkhaz,1,Postpositions,Northwest Caucasian,Northwest Caucasian,,
abv,Abui,5,No adpositions,Greater Alor,Timor-Alor-Pantar,,
abu,Abun,2,Prepositions,North-Central Bird's Head,West Papuan,,
ace,Acehnese,2,Prepositions,Malayo-Sumbawan,Austronesian,,
acg,Achagua,1,Postpositions,Inland Northern Arawakan,Arawakan,,
acn,Achang,1,Postpositions,Burmese-Lolo,Sino-Tibetan,,
acl,Acholi,2,Prepositions,Nilotic,Eastern Sudanic,,
acm,Achumawi,2,Prepositions,Palaihnihan,Hokan,,
aco,Acoma,1,Postpositions,Keresan,Keresan,,
adg,Adang,1,Postpositions,Greater Alor,Timor-Alor-Pantar,,
adi,Adioukrou,1,Postpositions,Kwa,Niger-Congo,,
ady,Adyghe (Abzakh),1,Postpositions,Northwest Caucasian,Northwest Caucasian,,
adn,Adynyamathanha,1,Postpositions,Central Pama-Nyungan,Pama-Nyungan,,
adz,Adzera,2,Prepositions,Oceanic,Austronesian,,
agc,Agta (Central),2,Prepositions,Greater Central Philippine,Austronesian,,
ain,Ainu,1,Postpositions,Ainu,Ainu,,
aja,Aja,2,Prepositions,Kresh,Central Sudanic,,
ajg,Ajagbe,1,Postpositions,Kwa,Niger-Congo,,
akn,Akan,4,No dominant order,Kwa,Niger-Congo,,
akh,Akha,1,Postpositions,Burmese-Lolo,Sino-Tibetan,,
all,Ala'ala,4,No dominant order,Oceanic,Austronesian,,
ala,Alamblak,1,Postpositions,Sepik Hill,Sepik,,
alw,Alawa,2,Prepositions,Alawa,Mangarrayi-Maran,,
alb,Albanian,2,Prepositions,Albanian,Indo-European,,
als,Alsea,2,Prepositions,Alsea,Oregon Coast,,
aln,Alune,2,Prepositions,Central Malayo-Polynesian,Austronesian,,
aly,Alyawarra,1,Postpositions,Central Pama-Nyungan,Pama-Nyungan,,
amc,Amahuaca,1,Postpositions,Panoan,Panoan,,
ama,Amara,2,Prepositions,Oceanic,Austronesian,,
amk,Amarakaeri,1,Postpositions,Harakmbet,Harakmbet,,
aml,Ambae (Lolovoli Northeast),2,Prepositions,Oceanic,Austronesian,,
amq,Ambai,2,Prepositions,South Halmahera - West New Guinea,Austronesian,,
amb,Ambulas,1,Postpositions,Middle Sepik,Sepik,,
